strain_ID	species	strain_type	active_substance	sampling_year	nb_day	dose	perc_croiss
17-0193-002	F. amygdali	individual	thiophanate-methyl	2017	7	0.3	15.79
17-0193-002	F. amygdali	individual	thiophanate-methyl	2017	7	1	1.32
17-0193-002	F. amygdali	individual	thiophanate-methyl	2017	7	3	0
17-0193-002	F. amygdali	individual	thiophanate-methyl	2017	7	10	0
17-0193-002	F. amygdali	individual	thiophanate-methyl	2017	7	30	0
17-0193-002	F. amygdali	individual	thiophanate-methyl	2017	7	100	0
17-0193-002	F. amygdali	individual	thiophanate-methyl	2017	7	300	0
14-0020-084	F. amygdali	individual	carbendazim	2014	7	0	100
14-0020-084	F. amygdali	individual	carbendazim	2014	7	0.001	104.23
14-0020-084	F. amygdali	individual	carbendazim	2014	7	0.003	97.18
14-0020-084	F. amygdali	individual	carbendazim	2014	7	0.01	90.14
14-0020-084	F. amygdali	individual	carbendazim	2014	7	0.03	61.97
14-0020-084	F. amygdali	individual	carbendazim	2014	7	0.1	2.82
14-0020-084	F. amygdali	individual	carbendazim	2014	7	0.3	0
14-0020-084	F. amygdali	individual	carbendazim	2014	7	1	0
14-0020-084	F. amygdali	individual	carbendazim	2014	7	3	0
14-0020-084	F. amygdali	individual	carbendazim	2014	7	10	0
14-0020-084	F. amygdali	individual	carbendazim	2014	7	30	0
14-0020-084	F. amygdali	individual	carbendazim	2014	7	100	0
14-0020-084	F. amygdali	individual	carbendazim	2014	7	300	0
14-0020-084	F. amygdali	individual	thiophanate-methyl	2014	7	0	100
14-0020-084	F. amygdali	individual	thiophanate-methyl	2014	7	0.001	98.59
14-0020-084	F. amygdali	individual	thiophanate-methyl	2014	7	0.003	95.77
14-0020-084	F. amygdali	individual	thiophanate-methyl	2014	7	0.01	90.14
14-0020-084	F. amygdali	individual	thiophanate-methyl	2014	7	0.03	92.96
14-0020-084	F. amygdali	individual	thiophanate-methyl	2014	7	0.1	92.96
14-0020-084	F. amygdali	individual	thiophanate-methyl	2014	7	0.3	90.14
14-0020-084	F. amygdali	individual	thiophanate-methyl	2014	7	1	16.9
14-0020-084	F. amygdali	individual	thiophanate-methyl	2014	7	3	1.41
14-0020-084	F. amygdali	individual	thiophanate-methyl	2014	7	10	0
14-0020-084	F. amygdali	individual	thiophanate-methyl	2014	7	30	0
14-0020-084	F. amygdali	individual	thiophanate-methyl	2014	7	100	0
14-0020-084	F. amygdali	individual	thiophanate-methyl	2014	7	300	0
14-0020-085	F. amygdali	individual	carbendazim	2014	7	0	100
14-0020-085	F. amygdali	individual	carbendazim	2014	7	0.001	100
14-0020-085	F. amygdali	individual	carbendazim	2014	7	0.003	97.14
14-0020-085	F. amygdali	individual	carbendazim	2014	7	0.01	95.71
14-0020-085	F. amygdali	individual	carbendazim	2014	7	0.03	41.43
14-0020-085	F. amygdali	individual	carbendazim	2014	7	0.1	1.43
14-0020-085	F. amygdali	individual	carbendazim	2014	7	0.3	0
14-0020-085	F. amygdali	individual	carbendazim	2014	7	1	0
14-0020-085	F. amygdali	individual	carbendazim	2014	7	3	0
14-0020-085	F. amygdali	individual	carbendazim	2014	7	10	0
14-0020-085	F. amygdali	individual	carbendazim	2014	7	30	0
14-0020-085	F. amygdali	individual	carbendazim	2014	7	100	0
14-0020-085	F. amygdali	individual	carbendazim	2014	7	300	0
14-0020-085	F. amygdali	individual	thiophanate-methyl	2014	13	0	100
14-0020-085	F. amygdali	individual	thiophanate-methyl	2014	13	0.001	105.71
14-0020-085	F. amygdali	individual	thiophanate-methyl	2014	13	0.003	98.57
14-0020-085	F. amygdali	individual	thiophanate-methyl	2014	13	0.01	91.43
14-0020-085	F. amygdali	individual	thiophanate-methyl	2014	13	0.03	94.29
14-0020-085	F. amygdali	individual	thiophanate-methyl	2014	13	0.1	91.43
14-0020-085	F. amygdali	individual	thiophanate-methyl	2014	13	0.3	84.29
14-0020-085	F. amygdali	individual	thiophanate-methyl	2014	13	1	5.71
14-0020-085	F. amygdali	individual	thiophanate-methyl	2014	13	3	0
14-0020-085	F. amygdali	individual	thiophanate-methyl	2014	13	10	0
14-0020-085	F. amygdali	individual	thiophanate-methyl	2014	13	30	0
14-0020-085	F. amygdali	individual	thiophanate-methyl	2014	13	100	0
14-0020-085	F. amygdali	individual	thiophanate-methyl	2014	13	300	0
18-0063-011	F. amygdali	individual	carbendazim	2018	7	0	100
18-0063-011	F. amygdali	individual	carbendazim	2018	7	0.001	100
18-0063-011	F. amygdali	individual	carbendazim	2018	7	0.003	100
18-0063-011	F. amygdali	individual	carbendazim	2018	7	0.01	97.44
18-0063-011	F. amygdali	individual	carbendazim	2018	7	0.03	41.03
18-0063-011	F. amygdali	individual	carbendazim	2018	7	0.1	2.56
18-0063-011	F. amygdali	individual	carbendazim	2018	7	0.3	1.28
18-0063-011	F. amygdali	individual	carbendazim	2018	7	1	0
18-0063-011	F. amygdali	individual	carbendazim	2018	7	3	0
18-0063-011	F. amygdali	individual	carbendazim	2018	7	10	0
18-0063-011	F. amygdali	individual	carbendazim	2018	7	30	0
18-0063-011	F. amygdali	individual	carbendazim	2018	7	100	0
18-0063-011	F. amygdali	individual	carbendazim	2018	7	300	0
18-0063-011	F. amygdali	individual	thiophanate-methyl	2018	7	0	100
18-0063-011	F. amygdali	individual	thiophanate-methyl	2018	7	0.001	100
18-0063-011	F. amygdali	individual	thiophanate-methyl	2018	7	0.003	100
18-0063-011	F. amygdali	individual	thiophanate-methyl	2018	7	0.01	100
18-0063-011	F. amygdali	individual	thiophanate-methyl	2018	7	0.03	97.44
18-0063-011	F. amygdali	individual	thiophanate-methyl	2018	7	0.1	97.44
18-0063-011	F. amygdali	individual	thiophanate-methyl	2018	7	0.3	20.51
18-0063-011	F. amygdali	individual	thiophanate-methyl	2018	7	1	1.28
18-0063-011	F. amygdali	individual	thiophanate-methyl	2018	7	3	0
18-0063-011	F. amygdali	individual	thiophanate-methyl	2018	7	10	0
18-0063-011	F. amygdali	individual	thiophanate-methyl	2018	7	30	0
18-0063-011	F. amygdali	individual	thiophanate-methyl	2018	7	100	0
18-0063-011	F. amygdali	individual	thiophanate-methyl	2018	7	300	0
18-0075-001	F. amygdali	individual	carbendazim	2018	7	0	100
18-0075-001	F. amygdali	individual	carbendazim	2018	7	0.001	96.5
18-0075-001	F. amygdali	individual	carbendazim	2018	7	0.003	97.9
18-0075-001	F. amygdali	individual	carbendazim	2018	7	0.01	95.1
18-0075-001	F. amygdali	individual	carbendazim	2018	7	0.03	37.76
18-0075-001	F. amygdali	individual	carbendazim	2018	7	0.1	0
18-0075-001	F. amygdali	individual	carbendazim	2018	7	0.3	0
18-0075-001	F. amygdali	individual	carbendazim	2018	7	1	0
18-0075-001	F. amygdali	individual	carbendazim	2018	7	3	0
18-0075-001	F. amygdali	individual	carbendazim	2018	7	10	0
18-0075-001	F. amygdali	individual	carbendazim	2018	7	30	0
18-0075-001	F. amygdali	individual	carbendazim	2018	7	100	0
18-0075-001	F. amygdali	individual	carbendazim	2018	7	300	0
18-0075-001	F. amygdali	individual	thiophanate-methyl	2018	7	0	100
18-0075-001	F. amygdali	individual	thiophanate-methyl	2018	7	0.001	92.31
18-0075-001	F. amygdali	individual	thiophanate-methyl	2018	7	0.003	92.31
18-0075-001	F. amygdali	individual	thiophanate-methyl	2018	7	0.01	93.71
18-0075-001	F. amygdali	individual	thiophanate-methyl	2018	7	0.03	97.9
18-0075-001	F. amygdali	individual	thiophanate-methyl	2018	7	0.1	93.71
18-0075-001	F. amygdali	individual	thiophanate-methyl	2018	7	0.3	19.58
18-0075-001	F. amygdali	individual	thiophanate-methyl	2018	7	1	0
18-0075-001	F. amygdali	individual	thiophanate-methyl	2018	7	3	0
18-0075-001	F. amygdali	individual	thiophanate-methyl	2018	7	10	0
18-0075-001	F. amygdali	individual	thiophanate-methyl	2018	7	30	0
18-0075-001	F. amygdali	individual	thiophanate-methyl	2018	7	100	0
18-0075-001	F. amygdali	individual	thiophanate-methyl	2018	7	300	0
18-0286-003	F. amygdali	individual	carbendazim	2018	7	0	100
18-0286-003	F. amygdali	individual	carbendazim	2018	7	0.001	83.08
18-0286-003	F. amygdali	individual	carbendazim	2018	7	0.003	92.31
18-0286-003	F. amygdali	individual	carbendazim	2018	7	0.01	80
18-0286-003	F. amygdali	individual	carbendazim	2018	7	0.03	49.23
18-0286-003	F. amygdali	individual	carbendazim	2018	7	0.1	1.54
18-0286-003	F. amygdali	individual	carbendazim	2018	7	0.3	0
18-0286-003	F. amygdali	individual	carbendazim	2018	7	1	0
18-0286-003	F. amygdali	individual	carbendazim	2018	7	3	0
18-0286-003	F. amygdali	individual	carbendazim	2018	7	10	0
18-0286-003	F. amygdali	individual	carbendazim	2018	7	30	0
18-0286-003	F. amygdali	individual	carbendazim	2018	7	100	0
18-0286-003	F. amygdali	individual	carbendazim	2018	7	300	0
18-0286-003	F. amygdali	individual	thiophanate-methyl	2018	7	0	100
18-0286-003	F. amygdali	individual	thiophanate-methyl	2018	7	0.001	98.46
18-0286-003	F. amygdali	individual	thiophanate-methyl	2018	7	0.003	101.54
18-0286-003	F. amygdali	individual	thiophanate-methyl	2018	7	0.01	101.54
18-0286-003	F. amygdali	individual	thiophanate-methyl	2018	7	0.03	95.38
18-0286-003	F. amygdali	individual	thiophanate-methyl	2018	7	0.1	89.23
18-0286-003	F. amygdali	individual	thiophanate-methyl	2018	7	0.3	24.62
18-0286-003	F. amygdali	individual	thiophanate-methyl	2018	7	1	0
18-0286-003	F. amygdali	individual	thiophanate-methyl	2018	7	3	0
18-0286-003	F. amygdali	individual	thiophanate-methyl	2018	7	10	0
18-0286-003	F. amygdali	individual	thiophanate-methyl	2018	7	30	0
18-0286-003	F. amygdali	individual	thiophanate-methyl	2018	7	100	0
18-0286-003	F. amygdali	individual	thiophanate-methyl	2018	7	300	0
18-0286-027	F. amygdali	individual	carbendazim	2018	7	0	100
18-0286-027	F. amygdali	individual	carbendazim	2018	7	0.001	101.59
18-0286-027	F. amygdali	individual	carbendazim	2018	7	0.003	93.65
18-0286-027	F. amygdali	individual	carbendazim	2018	7	0.01	98.41
18-0286-027	F. amygdali	individual	carbendazim	2018	7	0.03	47.62
18-0286-027	F. amygdali	individual	carbendazim	2018	7	0.1	3.17
18-0286-027	F. amygdali	individual	carbendazim	2018	7	0.3	0
18-0286-027	F. amygdali	individual	carbendazim	2018	7	1	0
18-0286-027	F. amygdali	individual	carbendazim	2018	7	3	0
18-0286-027	F. amygdali	individual	carbendazim	2018	7	10	0
18-0286-027	F. amygdali	individual	carbendazim	2018	7	30	0
18-0286-027	F. amygdali	individual	carbendazim	2018	7	100	0
18-0286-027	F. amygdali	individual	carbendazim	2018	7	300	0
18-0286-027	F. amygdali	individual	thiophanate-methyl	2018	7	0	100
18-0286-027	F. amygdali	individual	thiophanate-methyl	2018	7	0.001	101.59
18-0286-027	F. amygdali	individual	thiophanate-methyl	2018	7	0.003	101.59
18-0286-027	F. amygdali	individual	thiophanate-methyl	2018	7	0.01	98.41
18-0286-027	F. amygdali	individual	thiophanate-methyl	2018	7	0.03	93.65
18-0286-027	F. amygdali	individual	thiophanate-methyl	2018	7	0.1	90.48
18-0286-027	F. amygdali	individual	thiophanate-methyl	2018	7	0.3	30.16
18-0286-027	F. amygdali	individual	thiophanate-methyl	2018	7	1	1.59
18-0286-027	F. amygdali	individual	thiophanate-methyl	2018	7	3	0
18-0286-027	F. amygdali	individual	thiophanate-methyl	2018	7	10	0
18-0286-027	F. amygdali	individual	thiophanate-methyl	2018	7	30	0
18-0286-027	F. amygdali	individual	thiophanate-methyl	2018	7	100	0
18-0286-027	F. amygdali	individual	thiophanate-methyl	2018	7	300	0
